filtered words, score
So strategy something ? , nan
Guess ideas ? , nan
Put fires ..... ? , nan
Haha . I guess . We could take secton like video . , 6.0
Yes could . I take village bottom right ? , 6.0
I take village top , 6.0
Cool . I 'll take forest right , 5.0
's lot fires left hand side forrest , nan
Noticed .... , nan
Wow escalated quickly . , nan
Ha ! Yeah . , nan
Strategy ? , nan
I take bottom left ? , 6.0
'll take village top left , 5.0
Uh ... big area . I 'll stay middle . , 5.0
oops I mean right , 4.0
Nobody panic . , nan
Wow . Maybe could divide screen halves two people stay top two bottom supporting , 6.0
Yes , nan
good idea , nan
Go Team ! , nan
So I 'm bottom half . , 6.0
, nan
I 'll stay top , 5.0
fail ... , nan
Hahaha I feel like game made failure . , nan
less mouths feed , nan
True story . , nan
True story .... , nan
woah . , nan
haha , nan
I lost vehicle ... , 3.0
How ? , nan
struggle real , nan
I 'm helicopter ? , 4.0
click every vehicle find , 5.0
I 'm two helicopters ... , 4.0
And I wind direction thing . , 3.0
Only prevent forest fires .... , 3.0
obviously . dumb , nan
put like ten wtf , 4.0
yep . , nan
game rigged , nan
Some men want watch world burn . , 3.0
^^^^^ , nan
I set fire rain ? , nan
Might explain spread fast . , nan
I 'm double agent . , 3.0
So ... Professional success ? , nan
Uh .... I guess I would define able competently 're paid ? , nan
Setting goal reaching . , nan
reaching professional status ? , nan
Learning mistakes around bring table . , nan
* others around , nan
good idea~ , nan
What team think ? , nan
Maybe professional success able problem solve work well others ? , nan
Boom . Agreed . , nan
Yep . , nan
awesome ~ , nan
So conditions ? , nan
onditions ? , nan
* conditions ? , nan
one would knowing task hand . , nan
And I still misspelled . , nan
haha~ ` , nan
wait I n't , nan
Hahaha , nan
, nan
So ... knowledge task tools make task happen ? , nan
Boom . , nan
Yes . , nan
Conditions bit vague term . , nan
knowledge motivation ? , nan
yeah works , nan
Suggestions improvment ? , nan
I would think order improve professional success would need improve areas improve information available improve tools available ? , nan
Yep ! , nan
And help improve well . , nan
gain understanding . ( aka go pay school ... ) , nan
That . Work self situation . , nan
yes , nan
best team work award goes us . boom . , nan
Yeah ! ! ! , nan
Boom . Lol . , nan
So .... , nan
like ending sentence period one rebutle boom . , nan
Oh I like Iwas echoing . ( Boom ) . , nan
Boooooooooom , nan
I like echo apperciated . , nan
Your appreciation appreciated . : D , nan
Yup . , nan
sam stragey ? two top two ? , 6.0
* , nan
Yep . , nan
Sure . , nan
I 've got bottom , 6.0
top , nan
I ca n't move ... , 4.0
I green things screen ... , 3.0
Did fix ? We need ! It 's bad . , 3.0
... still ca n't move . , 3.0
Call ? , 6.0
Yes , nan
She fixed . , 3.0
cool , nan
lawd jesus 's fire , nan
ai n't nobody got time fo ' , 3.0
Ai n't nobody got time . , 3.0
haha , nan
attack ! , nan
Well thankfully burned . , nan
goodbye forest , nan
A lot less look . , nan
's I like hear ^ , nan
WOO ! , nan
Thought said `` moo ! '' first .. , nan
hahahaha , nan
MOO ! , nan
Now ... , nan
boom^ , nan
Yes could . I take village bottom right ? , 4.0
I take village top , 4.0
Cool . I 'll take forest right , 4.0
'll take village top left , 4.0
Uh ... big area . I 'll stay middle . , 4.0
Wow . Maybe could divide screen halves two people stay top two bottom supporting , 4.0
So I 'm bottom half . , 4.0
I 'll stay top , 4.0
click every vehicle find , 6.0
sam stragey ? two top two ? , 4.0
I 've got bottom , 4.0
